iter	Passed	Remaining
528	194244	172947
529	194525	172503
530	194922	172162
531	195353	171851
532	195706	171472
533	196069	171101
534	196490	170781
535	197001	170538
536	197298	170110
537	197695	169768
538	198067	169404
539	198413	169019
540	198811	168677
541	199292	168405
542	199654	168033
543	199989	167637
544	200245	167177
545	200630	166824
546	200997	166456
547	201247	165992
548	201763	165747
549	202164	165407
550	202608	165102
551	202994	164749
552	203422	164429
553	203802	164071
554	204191	163721
555	204558	163352
556	204930	162987
557	205276	162602
558	205685	162266
559	206107	161941
560	206595	161667
561	207015	161339
562	207470	161038
563	207925	160736
564	208308	160378
565	208705	160032
566	209113	159693
567	209461	159309
568	209850	158955
569	210233	158597
570	210603	158228
571	211037	157909
572	211444	157568
573	211835	157216
574	212242	156874
575	212493	156418
576	212738	155959
577	213190	155651
578	213538	155267
579	213859	154863
580	214308	154552
581	214667	154177
582	215058	153823
583	215441	153464
584	215815	153100
585	216209	152748
586	216593	152390
587	216910	151984
588	217276	151613
589	217643	151243
590	218217	151016
591	218675	150709
592	219110	150384
593	219457	149999
594	219705	149547
595	220065	149172
596	220487	148838
597	220914	148507
598	221319	148161
599	221695	147797
600	222109	147457
601	222547	147132
602	222921	146766
603	223288	146394
604	223739	146077
605	224139	145727
606	224484	145341
607	224878	144987
608	225307	144655
609	225633	144257
610	226017	143896
611	226394	143531
612	226778	143170
613	227145	142798
614	227461	142394
615	227710	141949
616	228052	141562
617	228470	141222
618	228760	140804
619	229223	140491
620	229571	140108
621	229951	139745
622	230320	139375
623	230747	139040
624	231146	138687
625	231655	138401
626	231978	138003
627	232353	137636
628	232688	137245
629	232939	136805
630	233384	136479
631	233776	136122
632	234095	135723
633	234557	135407
634	234994	135075
635	235421	134738
636	235818	134383
637	236217	134029
638	236549	133637
639	236901	133256
640	237245	132872
641	237496	132435
642	237878	132072
643	238376	131773
644	238684	131368
645	239117	131033
646	239798	130833
647	240210	130484
648	240541	130092
649	240943	129739
650	241312	129367
651	241651	128979
652	242041	128619
653	242351	128216
654	242694	127831
655	243102	127480
656	243429	127087
657	243735	126683
658	244170	126346
659	244590	126001
660	244975	125638
661	245224	125205
662	245602	124838
663	246028	124496
664	246394	124123
665	246638	123689
666	246877	123253
667	247239	122879
668	247564	122487
669	247986	122142
670	248392	121790
671	248842	121458
672	249274	121118
673	249643	120747
674	250045	120392
675	250286	119959
676	250527	119527
677	250938	119177
678	251358	118830
679	251705	118449
680	252051	118068
681	252433	117703
682	252863	117361
683	253106	116932
684	253529	116586
685	253915	116223
686	254302	115861
687	254784	115541
688	255173	115180
689	255413	114750
690	255652	114322
691	255893	113894
692	256132	113466
693	256368	113038
694	256607	112611
695	256843	112184
696	257236	111826
697	257581	111446
698	257897	111054
699	258265	110685
700	258688	110339
701	259078	109979
702	259544	109650
703	259953	109298
704	260458	108986
705	260875	108636
706	261231	108261
707	261648	107911
708	261968	107521
709	262345	107155
710	262584	106732
711	262990	106378
712	263231	105957
713	263475	105537
714	263873	105180
715	264117	104761
716	264356	104341
717	264754	103984
718	265152	103627
719	265476	103240
720	265717	102822
721	266054	102442
722	266417	102071
723	266777	101699
724	267107	101316
725	267465	100944
726	267788	100558
727	268168	100194
728	268549	99831
729	268882	99449
730	269121	99033
731	269358	98617
732	269595	98201
733	269852	97793
734	270304	97456
735	270788	97130
736	271250	96796
737	271627	96431
738	271958	96050
739	272212	95642
740	272562	95268
741	272942	94904
742	273351	94551
743	273728	94186
744	273970	93775
745	274305	93396
746	274547	92986
747	274885	92608
748	275124	92197
749	275557	91852
750	275912	91481
751	276208	91089
752	276548	90713
753	276902	90342
754	277276	89977
755	277592	89593
756	277955	89224
757	278315	88855
758	278664	88482
759	279015	88110
760	279417	87754
761	279791	87389
762	280113	87007
763	280432	86625
764	280805	86260
765	281144	85884
766	281529	85523
767	281989	85184
768	282437	84841
769	282802	84473
770	283228	84123
771	283639	83769
772	284053	83415
773	284293	83010
774	284684	82650
775	285045	82281
776	285369	81901
777	285758	81540
778	286165	81184
779	286506	80809
780	286889	80446
781	287174	80056
782	287529	79685
783	287916	79323
784	288272	78953
785	288629	78583
786	288868	78181
787	289281	77827
788	289544	77431
789	289925	77068
790	290326	76710
791	290746	76357
792	291076	75981
793	291435	75611
794	291772	75236
795	292192	74883
796	292632	74534
797	293087	74189
798	293382	73804
799	293742	73435
800	294139	73075
801	294488	72704
802	294887	72344
803	295303	71989
804	295709	71631
805	296041	71255
806	296283	70858
807	296609	70481
808	297002	70120
809	297442	69770
810	297686	69374
811	298027	69001
812	298268	68605
813	298691	68251
814	299025	67876
815	299456	67524
816	299791	67150
817	300220	66797
818	300619	66437
819	300863	66043
820	301254	65681
821	301611	65312
822	302061	64963
823	302464	64604
824	302865	64244
825	303231	63876
826	303612	63512
827	303993	63148
828	304319	62772
829	304688	62405
830	305007	62029
831	305327	61652
832	305563	61259
833	305918	60890
834	306279	60522
835	306663	60158
836	306918	59770
837	307172	59381
838	307622	59031
839	307953	58657
840	308274	58282
841	308530	57895
842	308781	57507
843	309173	57145
844	309414	56756
845	309783	56390
846	310115	56018
847	310355	55629
848	310593	55241
849	310829	54852
850	311219	54490
851	311541	54117
852	311811	53735
853	312139	53363
854	312380	52976
855	312616	52589
856	312854	52203
857	313092	51817
858	313329	51431
859	313568	51046
860	313809	50661
861	314052	50277
862	314327	49899
863	314620	49523
864	314902	49146
865	315146	48763
866	315382	48380
867	315738	48015
868	316130	47655
869	316367	47273
870	316715	46907
871	317052	46539
872	317412	46175
873	317807	45816
874	318226	45460
875	318697	45112
876	319045	44746
877	319405	44382
878	319802	44022
879	320143	43655
880	320478	43288
881	320838	42923
882	321171	42556
883	321519	42190
884	321907	41829
885	322265	41465
886	322595	41097
887	322988	40737
888	323375	40376
889	323621	39998
890	324011	39637
891	324331	39268
892	324697	38905
893	325062	38542
894	325610	38200
895	325947	37833
896	326326	37471
897	326714	37110
898	327075	36745
899	327426	36380
900	327662	36002
901	328004	35636
902	328397	35276
903	328713	34907
904	329135	34550
905	329529	34189
906	329927	33829
907	330326	33469
908	330762	33112
909	331156	32751
910	331538	32389
911	331868	32022
912	332108	31646
913	332346	31271
914	332681	30904
915	333076	30544
916	333471	30183
917	333718	29809
918	333987	29437
919	334259	29066
920	334508	28692
921	334746	28319
922	334983	27945
923	335220	27572
924	335459	27199
925	335697	26826
926	335964	26456
927	336240	26087
928	336530	25719
929	336858	25354
930	337238	24994
931	337480	24623
932	337743	24253
933	338018	23885
934	338256	23515
935	338497	23145
936	338913	22787
937	339156	22417
938	339394	22047
939	339632	21678
940	339869	21309
941	340107	20940
942	340502	20581
